Section,Artist,Role,Venue,Date,Video URL,Detail,Skip Reason
Verified,Reverend Horton Heat,headliner,The Orange Peel,"Fri, Apr 03",https://youtube.com/watch?v=H96XcNWKZVg,VEVO,verified
Rejected,All Your Friends: The Indie Party (Ages 18 & Up),headliner,Elevation 27,"Sat, Apr 11",https://youtube.com/watch?v=zvFbIMxDk7o,artist name not found in channel or title,rejected
Rejected,The Emo Night Tour,headliner,The Orange Peel,"Fri, Apr 10",https://youtube.com/watch?v=Z6OwNmhUEK0,artist name not found in channel or title,rejected
No Preview,All Your Friends: The Indie Party (Ages 18 & Up),headliner,Elevation 27,"Sat, Apr 11",,NEW — Rejected: artist name not found in channel or title,flag
No Preview,The Emo Night Tour,headliner,The Orange Peel,"Fri, Apr 10",,NEW — Rejected: artist name not found in channel or title,flag
---,Expected (69 items below — skip/reused/no_log),,,,,,
No Preview,NYC Barz Exam: Karl Dice Raw Jenkins + more,headliner,Bowery Ballroom,"Mon, Mar 09",,No video assigned,no_log
No Preview,Yo Guys,headliner,Bowery Ballroom,"Thu, Mar 12",,No video assigned,skip
No Preview,HLWA,headliner,Bowery Ballroom,"Fri, Mar 13",,No video assigned,skip
No Preview,The Red Party: THE BOOTBLACKS + THE DISCUSSION LIVE!,headliner,Bowery Ballroom,"Sat, Mar 14",,Rejected: artist name not found in channel or title,reused
No Preview,special guest DJ T.B.A. with your DJS Sean Templar + Jarek spinning the best POST PUNK - GOTH - DEATHROCK - COLDWAVE DOORS 10pm (come early) - 4am $15 ADV / $20 DOS Mercury Lounge 217 East Houston St. NYC,opener,Bowery Ballroom,"Sat, Mar 14",,No video assigned,no_log
No Preview,An Evening With,opener,Cat's Cradle,"Tue, Mar 10",,"Rejected: view count 36,845,716 exceeds 5,000,000 cap",reused
No Preview,"Voyage Hot Club, ft. Sam Farthing & Paulus Schaefer",headliner,Cat's Cradle Back Room,"Fri, Mar 20",,Rejected: not found on Spotify + channel mismatch,reused
No Preview,Sam Farthing & Jimmy Grant Guitar Workshop,headliner,Cat's Cradle Back Room,"Sat, Mar 21",,No video assigned,skip
No Preview,BENEE,headliner,Cat's Cradle,"Sat, Mar 21",,"Rejected: view count 334,709,099 exceeds 50,000,000 cap",reused
No Preview,Paulus Schaefer and Friends,headliner,Cat's Cradle Back Room,"Sat, Mar 21",,Rejected: video is 16 years old with no channel match; not found on Spotify + channel mismatch,reused
No Preview,Paulus Schaefer (Netherlands) Guitar Workshop,headliner,Cat's Cradle Back Room,"Sun, Mar 22",,Rejected: artist name not found in channel or title,reused
No Preview,It’s A 2000’s Party by Slacker University (Ages 18 & Up),headliner,Elevation 27,"Fri, Mar 27",,No video assigned,skip
No Preview,Dead Meets Petty | Last Fair Deal: A Grateful Dead Tribute Band & The Broken Hearts: A Tribute To Tom Petty and The Broken Hearts,headliner,Elevation 27,"Fri, Apr 03",,No video assigned,skip
No Preview,United We Dance: The Ultimate Rave Experience (Ages 18 & Up),headliner,Elevation 27,"Fri, Apr 17",,No video assigned,skip
No Preview,JULIA. – ‘Fish in the Percolator’ Album Release Show,headliner,Kings,"Fri, Mar 13",,Rejected: not found on Spotify + channel mismatch,reused
No Preview,The Great Cover Up 2026 – Make-Up Night!,headliner,Kings,"Sat, Mar 14",,No video assigned,skip
No Preview,GrrrlBands: Sountrack Season Showcase,headliner,Kings,"Sun, Mar 15",,No video assigned,skip
No Preview,Sesame / Emily Grimm,headliner,Kings,"Mon, Mar 23",,"Rejected: view count 29,773,734 exceeds 5,000,000 cap; non-matching channel 'NPR Music' with 12,400,000 subscribers; not found on Spotify + channel mismatch",reused
No Preview,Raleigh Comedy Festival 2026 – Friday Night,headliner,Kings,"Fri, Mar 27",,No video assigned,skip
No Preview,Raleigh Comedy Festival 2026 – Saturday Night,headliner,Kings,"Sat, Mar 28",,No video assigned,skip
No Preview,The Great Cover Up 2026 – Make-Up Night!,headliner,Kings,"Fri, Apr 3",,No video assigned,skip
No Preview,.memoria,opener,Kings,"Wed, Apr 8",,NEW — No video assigned,skip
No Preview,@ Kings,opener,Lincoln Theatre,"Sat, Mar 07",,"Rejected: view count 21,962,508 exceeds 10,000,000 cap",reused
No Preview,NC Songwriters Show Feat: Jon Wood/Steph Maguire/Tan Sanders/Drew Johnson/Sophie Taylor/Roy Stewart/Brent Underwood/Adam Fisher,headliner,Lincoln Theatre,"Sun, Mar 08",,No video assigned,skip
No Preview,The Old Soul Sessions Featuring NIITO / DJ YAE / UNCOOL KEVV,headliner,Lincoln Theatre,"Mon, Mar 16",,No video assigned,reused
No Preview,CONCRETE BOYS: IT’S US – VOL. 2 TOUR,headliner,Lincoln Theatre,"Tue, Apr 21",,Rejected: not found on Spotify + channel mismatch,reused
No Preview,Snowblinder and Dead Halos,opener,Local 506,"Sat, Mar 14",,No video assigned,skip
No Preview,More Is Not Enough and Heavy For The Vintage,opener,Local 506,"Thu, Mar 19",,No video from scraper,skip
No Preview,Julian Calendar and Sonic Blooms,opener,Local 506,"Sat, Mar 21",,No video assigned,skip
No Preview,Dug and Snide,opener,Local 506,"Wed, Apr 01",,No video from scraper,skip
No Preview,Pollute.,headliner,Local 506,"Mon, Apr 06",,NEW — No video assigned,skip
No Preview,Locally Sourced Weaponry,headliner,Local 506,"Wed, Apr 08",,No video assigned,skip
No Preview,The Horse Deniers and Hvac Tech,opener,Local 506,"Wed, Apr 08",,No video assigned,skip
No Preview,Nature TV and Emerson Bruno,opener,Local 506,"Thu, Apr 09",,No video assigned,skip
No Preview,Erie Choir and Neon Ruins,opener,Local 506,"Fri, Apr 10",,No video assigned,skip
No Preview,Your Neighbors,headliner,Local 506,"Thu, Apr 16",,"Rejected: view count 51,036,226 exceeds 10,000,000 cap",reused
No Preview,HBO QUIZZO: Heated Rivalry,headliner,Mohawk Indoor,"Mon, Mar 09",,No video assigned,skip
No Preview,Hosted By Anna Troxell,opener,Mohawk Indoor,"Mon, Mar 09",,No video assigned,skip
No Preview,To Be Announced,opener,Mohawk Outdoor,"Fri, Mar 13",,No video assigned,skip
No Preview,To Be Announced,opener,Mohawk Outdoor,"Sat, Mar 14",,No video assigned,skip
No Preview,To Be Announced,opener,Mohawk Outdoor,"Sun, Mar 15",,No video assigned,skip
No Preview,Marshall Live from Mohawk,headliner,Mohawk Outdoor,"Mon, Mar 16",,Rejected: artist name not found in channel or title,reused
No Preview,"Babychiefdo It, The Paradox, Sosocamo, DJ Set From Illykimchi, Oogie Mane, Knox Write, Rickfromtexas, + More!",opener,Mohawk Outdoor,"Mon, Mar 16",,No video assigned,no_log
No Preview,SXSW: Monster Children Showcase,headliner,Mohawk Outdoor,"Tue, Mar 17",,No video assigned,skip
No Preview,SXSW: Very Necessary Showcase,headliner,Mohawk Indoor,"Wed, Mar 18",,No video assigned,skip
No Preview,"Valee, Bobby Raps, Pyrex, Ozer, Wiardon, Moscato J, Avon, + Special Guests!",opener,Mohawk Indoor,"Wed, Mar 18",,"Rejected: non-matching channel 'ELEVATOR' with 2,040,000 subscribers; not found on Spotify + channel mismatch",reused
No Preview,Recovery Takeover 2026,headliner,Mohawk Outdoor,"Sat, Mar 21",,No video assigned,skip
No Preview,"Alien Ant Farm, Skating Polly, Nolo, Dossey, Elektric Animals, Sam Ehrnstein, Cynthia Welch, + More!",opener,Mohawk Outdoor,"Sat, Mar 21",,"Rejected: view count 383,039,498 exceeds 50,000,000 cap",reused
No Preview,Oof Fighters,headliner,Mohawk Indoor,"Fri, Mar 27",,"Rejected: view count 620,782,534 exceeds 50,000,000 cap",reused
No Preview,Yoga for Reproductive Rights,headliner,Mohawk Indoor,"Sun, Mar 29",,Rejected: not found on Spotify + channel mismatch,reused
No Preview,Votive Album Release Show,headliner,Mohawk Indoor,"Thu, Apr 02",,Rejected: not found on Spotify + channel mismatch,reused
No Preview,"Votive, Shoganai, Clairvoyance, A Letter To Autumn",opener,Mohawk Indoor,"Thu, Apr 02",,Rejected: not found on Spotify + channel mismatch,reused
No Preview,Death Lens,opener,Mohawk Outdoor,"Sat, Apr 04",,"Rejected: non-matching channel 'Epitaph Records' with 3,930,000 subscribers",reused
No Preview,OLD CROW MEDICINE SHOW,headliner,Neighborhood Theatre,"Sat, Mar 21",,"Rejected: view count 88,675,310 exceeds 50,000,000 cap; video is 19 years old with no channel match",reused
No Preview,RARE OF BREED,headliner,Neighborhood Theatre,"Sun, Apr 12",,"Rejected: view count 10,032,843 exceeds 10,000,000 cap",reused
No Preview,McKinney’s “Bones” Album Release Show,headliner,The Orange Peel,"Mon, Mar 23",,NEW — No video assigned,skip
No Preview,support from Destinie Lynn,opener,The Orange Peel,"Mon, Mar 23",,NEW — No video assigned,skip
No Preview,"No Pressure, Haywire, Secret World",opener,The Orange Peel,"Tue, Mar 24",,Rejected: not found on Spotify + channel mismatch,reused
No Preview,Juvenile’s Boiling Point Album Release Tour,headliner,The Orange Peel,"Sun, Apr 05",,No video assigned,skip
No Preview,The 400 Degreez Band & Special Guests,opener,The Orange Peel,"Sun, Apr 05",,Rejected: not found on Spotify + channel mismatch,reused
No Preview,"Cartoon Smokeshow, a Drag and Burlesque Rewind",headliner,The Pinhook,"Sat, Mar 07",,No video assigned,skip
No Preview,SIREN: Pisces Drag Show and Dance Party,headliner,The Pinhook,"Sat, Mar 14",,No video assigned,skip
No Preview,Who Run It?! Party,headliner,The Pinhook,"Sat, Mar 21",,"Rejected: view count 58,659,761 exceeds 50,000,000 cap",reused
No Preview,Queer Country Night:  ALL Y’ALL led LINE DANCING + some KARAOKE,headliner,The Pinhook,"Tue, Mar 24",,No video assigned,skip
No Preview,Future Footwerk Dance Party,headliner,The Pinhook,"Sat, Mar 28",,No video assigned,skip
No Preview,Conjunto Breve / Africa Unplugged,headliner,The Pinhook,"Sun, Mar 29",,Rejected: not found on Spotify + channel mismatch,reused
No Preview,blair / Polo Perks / Doris,headliner,The Pinhook,"Thu, Apr 02",,Rejected: not found on Spotify + channel mismatch,reused
No Preview,Persimmon / Bangzz / cardigan,headliner,The Pinhook,"Fri, Apr 03",,Rejected: artist name not found in channel or title,reused
No Preview,Queer Country Night,headliner,The Pinhook,"Tue, Apr 07",,NEW — No video from scraper,skip
