Section,Artist,Role,Venue,Date,Video URL,Detail,Skip Reason
Verified,Kause,headliner,Bowery Ballroom,"Sun, Mar 15",https://youtube.com/watch?v=XeLoU1fC_hA,"channel match, 7,039 views",verified
Verified,Pretty Crimes,opener,Cat's Cradle Back Room,"Sun, Mar 08",https://youtube.com/watch?v=2Nywjo8gegE,"channel match, 391 views",verified
Verified,Los Straitjackets & Deke Dickerson,headliner,Cat's Cradle Back Room,"Wed, Mar 11",https://youtube.com/watch?v=jKuYeZTpbQM,"channel match, 69,121 views",verified
Verified,Gangstagrass,headliner,Cat's Cradle,"Tue, Mar 24",https://youtube.com/watch?v=XG7Ujh0XVH0,"channel match, 610,134 views",verified
Verified,Rosenau & Sanborn,headliner,Cat's Cradle Back Room,"Tue, Mar 24",https://youtube.com/watch?v=LWmAy_ufyqg,"channel match, Topic channel, 749 views",verified
Verified,Joe Westerlund,opener,Cat's Cradle Back Room,"Tue, Mar 24",https://youtube.com/watch?v=FKivhD5CdmQ,"channel match, Topic channel, 36 views",verified
Verified,Reverend Horton Heat,headliner,Elevation 27,"Sat, Apr 04",https://youtube.com/watch?v=4eVujNG04mg,"VEVO, 221,904 views",verified
Verified,Lowheaven,headliner,Kings,"Wed, Apr 8",https://youtube.com/watch?v=23fWcvRoWzg,"channel match, 21,505 views",verified
Verified,The Happy Fits w/ BEL,headliner,Lincoln Theatre,"Fri, Apr 24",https://youtube.com/watch?v=oKf11AW1RbM,"channel match, 253,210 views",verified
Verified,w/ BEL,opener,Lincoln Theatre,"Fri, Apr 24",https://youtube.com/watch?v=kGvHFYAaBOI,"channel match, 2,976 views",verified
Verified,"Havana Syndrome, Mr. Piss, Country Fetish",opener,Local 506,"Mon, Apr 06",https://youtube.com/watch?v=fuOBmK0-I48,"channel match, Topic channel, 19 views",verified
Verified,Los Straitjackets & Deke Dickerson,headliner,Neighborhood Theatre,"Tue, Mar 10",https://youtube.com/watch?v=A-MOMaDr3tU,"channel match, 13,590 views",verified
Verified,BREAKFIELD,headliner,Neighborhood Theatre,"Thu, Apr 23",https://youtube.com/watch?v=mhuTyUTaygM,"channel match, 6,434 views",verified
