Section,Artist,Role,Venue,Date,Video URL,Spotify Match,Spotify Popularity,Detail,Changed
Verified,*LOW TIX* Caroline Jones,headliner,Bowery Ballroom,"Thu, Mar 05",https://youtube.com/watch?v=_wcQe166mt4,close,37,"channel match, Topic channel, 9,404 views",New
Verified,*LOW TIX* Bryce Vine,headliner,Bowery Ballroom,"Thu, Mar 05",https://youtube.com/watch?v=ivRYJ1DOhn8,close,60,"channel match, 1,710 views",New
Verified,Belle Blue,headliner,Bowery Ballroom,"Tue, Mar 10",https://youtube.com/watch?v=FZAOpMM-FxE,exact,6,"channel match, VEVO, 2,862 views",New
Verified,WHATMORE,headliner,Bowery Ballroom,"Fri, Mar 13",https://youtube.com/watch?v=L-9QwatubPo,exact,39,"channel match, 50,904 views",New
Verified,Los Straitjackets & Deke Dickerson,headliner,Cat's Cradle Back Room,"Wed, Mar 11",https://youtube.com/watch?v=RiQj57xemJU,close,32,"3,589 views",New
Verified,BAYLI,opener,Cat's Cradle,"Sat, Mar 21",https://youtube.com/watch?v=2nYr6pZQ0QI,exact,43,"channel match, 172,145 views",New
Verified,Reverend Horton Heat,headliner,Elevation 27,"Sat, Apr 04",https://youtube.com/watch?v=4eVujNG04mg,exact,1,"VEVO, 221,797 views",New
Verified,Merch Madness,headliner,Kings,"Sun, Mar 22",https://youtube.com/watch?v=N5NQOnB9YHI,partial,5,VEVO,New
Verified,"Band merch,",opener,Kings,"Sun, Mar 22",https://youtube.com/watch?v=0r2OEDe3WwA,partial,2,"3,780 views",New
Verified,"Laurence Hope, Cement Block Pillow Fight",opener,Kings,"Mon, Mar 23",https://youtube.com/watch?v=ZFrphq5tkXQ,no_match,,"channel match, Topic channel, 448 views",New
Verified,Chain Gang,headliner,Kings,"Sun, Mar 29",https://youtube.com/watch?v=qhLNk3PwTJQ,exact,28,"channel match, 2,526 views",New
Verified,Will McBride Group,opener,Lincoln Theatre,"Sat, Mar 14",https://youtube.com/watch?v=RQPysoHYUWs,close,0,"channel match, 1,882 views",New
Verified,VISION ARCADE,opener,Local 506,"Thu, Apr 16",https://youtube.com/watch?v=qv19lL_HtxY,exact,37,"channel match, 26,445 views",New
Verified,SXSW: Pudgy Rodeo,headliner,Mohawk Outdoor,"Mon, Mar 16",https://youtube.com/watch?v=RY-PpBPi7dA,no_match,,"channel match, 2,076 views",New
Verified,Los Straitjackets & Deke Dickerson,headliner,Neighborhood Theatre,"Tue, Mar 10",https://youtube.com/watch?v=A-MOMaDr3tU,close,32,"channel match, 13,569 views",New
Verified,WEST 22ND,headliner,Neighborhood Theatre,"Sat, Apr 18",https://youtube.com/watch?v=4GysR0gpsWw,exact,51,"channel match, 1,101 views",New
Verified,Reverend Horton Heat,headliner,The Orange Peel,"Fri, Apr 03",https://youtube.com/watch?v=H96XcNWKZVg,exact,1,VEVO,New
Rejected,BENEE,headliner,Cat's Cradle,"Sat, Mar 21",https://youtube.com/watch?v=Rb6Scz-5YOs,exact,62,"view count 334,709,099 exceeds 50,000,000 cap",New
Rejected,Paulus Schaefer and Friends,headliner,Cat's Cradle Back Room,"Sat, Mar 21",https://youtube.com/watch?v=tvAGYyLgpoE,no_match,,video is 16 years old with no channel match; not found on Spotify + channel mismatch,New
Rejected,Sesame / Emily Grimm,headliner,Kings,"Mon, Mar 23",https://youtube.com/watch?v=gMp0SlkVU8w,no_match,,"view count 29,773,734 exceeds 5,000,000 cap; non-matching channel 'NPR Music' with 12,400,000 subscribers; not found on Spotify + channel mismatch",New
Rejected,CONCRETE BOYS: IT’S US – VOL. 2 TOUR,headliner,Lincoln Theatre,"Tue, Apr 21",https://youtube.com/watch?v=qFI76aeiEDw,no_match,,not found on Spotify + channel mismatch,New
Rejected,Your Neighbors,headliner,Local 506,"Thu, Apr 16",https://youtube.com/watch?v=DbfOXrQ0N84,exact,45,"view count 51,036,226 exceeds 10,000,000 cap",New
Rejected,Yoga for Reproductive Rights,headliner,Mohawk Indoor,"Sun, Mar 29",https://youtube.com/watch?v=Ro-21cXqUk8,no_match,,not found on Spotify + channel mismatch,New
Rejected,Fish Hunt / People I Love / Kelly Reidy,headliner,The Pinhook,"Thu, Mar 05",https://youtube.com/watch?v=vA7fQlMub1A,no_match,,not found on Spotify + channel mismatch,New
Rejected,Who Run It?! Party,headliner,The Pinhook,"Sat, Mar 21",https://youtube.com/watch?v=xLjyPBQk_Os,no_match,,"view count 58,659,761 exceeds 50,000,000 cap",New
Rejected,blair / Polo Perks / Doris,headliner,The Pinhook,"Thu, Apr 02",https://youtube.com/watch?v=4YfjInSiKmw,no_match,,not found on Spotify + channel mismatch,New
No Preview,All Your Friends: The Indie Party,headliner,Bowery Ballroom,"Fri, Mar 06",,no_match,,"Rejected: non-matching channel 'Coldplay' with 28,400,000 subscribers; not found on Spotify + channel mismatch",
No Preview,TELYKAST,headliner,Bowery Ballroom,"Sat, Mar 07",,exact,53,"Rejected: non-matching channel 'Armada Music TV' with 5,540,000 subscribers",
No Preview,NYC Barz Exam: Karl Dice Raw Jenkins + more,headliner,Bowery Ballroom,"Mon, Mar 09",,no_match,,No video assigned,
