Category,Artist,Role,Status,Venue,Date,Video URL,Detail,Definition
Verified,Maris,headliner,verified,Local 506,"Sun, Apr 19",https://youtube.com/watch?v=v2VHCvagHWE,"channel match, VEVO, 21,868 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Hail The Sun,headliner,verified,The Orange Peel,"Sun, Apr 12",https://youtube.com/watch?v=GQZryuPliQ0,"channel match, 459,097 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,"Foxy Shazam, Makari, Mella",opener,verified,The Orange Peel,"Sun, Apr 12",https://youtube.com/watch?v=LuvN9DWwN48,"channel match, 50,152 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Idle County / Charlie Paso / Hook of Moon,headliner,verified,The Pinhook,"Sat, Apr 04",https://youtube.com/watch?v=ZRplJ6uljLY,"channel match, Topic channel, 163 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Rejected,ear U.S.A,headliner,rejected,Bowery Ballroom,"Thu, Mar 19",https://youtube.com/watch?v=EPhWR4d3FJQ,"view count 101,613,916 exceeds 50,000,000 cap",Failed verifier checks. Link shows rejected video; not assigned to show.
Rejected,Talk Radio,headliner,confirmed,Bowery Ballroom,"Thu, Mar 19",https://youtube.com/watch?v=67F7lIXK9tw,video is 17 years old with no channel match,"Failed verifier checks + extended research. Human-verified."
Rejected,The Still Not Okay Tour,headliner,rejected,Cat's Cradle,"Sun, Jan 24",https://youtube.com/watch?v=dhZTNgAs4Fc,"view count 141,939,741 exceeds 5,000,000 cap; non-matching channel 'My Chemical Romance' with 5,290,000 subscribers; video is 16 years old with no channel match",Failed verifier checks. Link shows rejected video; not assigned to show.
Rejected,Free Show: Live on the Lawn ft. The Shambles,headliner,rejected,Heartwood Soundstage,"Fri, Mar 20",https://youtube.com/watch?v=A-MDlu0kt0U,artist name not found in channel or title,Failed verifier checks. Link shows rejected video; not assigned to show.
Rejected,Laugh Lab Comedy,headliner,rejected,Heartwood Soundstage,"Sat, Mar 21",https://youtube.com/watch?v=IJj7F3PDrLw,artist name not found in channel or title,Failed verifier checks. Link shows rejected video; not assigned to show.
Rejected,John Prine Music Matinee,headliner,rejected,Heartwood Soundstage,"Sun, Mar 22",https://youtube.com/watch?v=SjzNKCpaXSk,artist name not found in channel or title,Failed verifier checks. Link shows rejected video; not assigned to show.
Rejected,Heartwood Music Fest X,headliner,rejected,Heartwood Soundstage,"Sat, Apr 04",https://youtube.com/watch?v=4dF8Vhi3Ry0,artist name not found in channel or title,Failed verifier checks. Link shows rejected video; not assigned to show.
Rejected,Self Care Saturdays: Nia at Heartwood Soundstage,headliner,rejected,Heartwood Soundstage,"Sat, Apr 11",https://youtube.com/watch?v=cPZ3u1z8kU0,artist name not found in channel or title,Failed verifier checks. Link shows rejected video; not assigned to show.
Rejected,Marc Broussard,headliner,rejected,Neighborhood Theatre,"Sun, Apr 26",https://youtube.com/watch?v=Fa6bIXhGelk,"view count 41,290,431 exceeds 5,000,000 cap",Failed verifier checks. Link shows rejected video; not assigned to show.
No Preview,special guest DJ T.B.A. with your DJS Sean Templar + Jarek spinning the best POST PUNK - GOTH - DEATHROCK - COLDWAVE DOORS 10pm (come early) - 4am $15 ADV / $20 DOS Mercury Lounge 217 East Houston St. NYC,opener,no_results,Bowery Ballroom,"Sat, Mar 14",,No video assigned,YouTube search ran but returned zero results.
---,Already Reviewed (68 items below — filtered/reused/no_log),,,,,,,
No Preview,NYC Barz Exam: Karl Dice Raw Jenkins + more,headliner,filtered,Bowery Ballroom,"Mon, Mar 09",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,Yo Guys,headliner,filtered,Bowery Ballroom,"Thu, Mar 12",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,HLWA,headliner,filtered,Bowery Ballroom,"Fri, Mar 13",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,The Red Party: THE BOOTBLACKS + THE DISCUSSION LIVE!,headliner,reused,Bowery Ballroom,"Sat, Mar 14",,Rejected: artist name not found in channel or title,Prior match with high confidence kept. No new search.
No Preview,An Evening With,opener,reused,Cat's Cradle,"Tue, Mar 10",,"Rejected: view count 36,845,716 exceeds 5,000,000 cap",Prior match with high confidence kept. No new search.
No Preview,"Voyage Hot Club, ft. Sam Farthing & Paulus Schaefer",headliner,reused,Cat's Cradle Back Room,"Fri, Mar 20",,Rejected: not found on Spotify + channel mismatch,Prior match with high confidence kept. No new search.
No Preview,BENEE,headliner,reused,Cat's Cradle,"Sat, Mar 21",,"Rejected: view count 334,709,099 exceeds 50,000,000 cap",Prior match with high confidence kept. No new search.
No Preview,Paulus Schaefer and Friends,headliner,reused,Cat's Cradle Back Room,"Sat, Mar 21",,Rejected: video is 16 years old with no channel match; not found on Spotify + channel mismatch,Prior match with high confidence kept. No new search.
No Preview,Paulus Schaefer (Netherlands) Guitar Workshop,headliner,reused,Cat's Cradle Back Room,"Sun, Mar 22",,Rejected: artist name not found in channel or title,Prior match with high confidence kept. No new search.
No Preview,It’s A 2000’s Party by Slacker University (Ages 18 & Up),headliner,filtered,Elevation 27,"Fri, Mar 27",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,Dead Meets Petty | Last Fair Deal: A Grateful Dead Tribute Band & The Broken Hearts: A Tribute To Tom Petty and The Broken Hearts,headliner,filtered,Elevation 27,"Fri, Apr 03",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,All Your Friends: The Indie Party (Ages 18 & Up),headliner,reused,Elevation 27,"Sat, Apr 11",,Rejected: artist name not found in channel or title,Prior match with high confidence kept. No new search.
No Preview,United We Dance: The Ultimate Rave Experience (Ages 18 & Up),headliner,filtered,Elevation 27,"Fri, Apr 17",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,Gainesville Guitar Festival 2026,headliner,filtered,Heartwood Soundstage,"Fri, Mar 13",,NEW — No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,Retirement Party & Kerosene Heights,opener,filtered,Heartwood Soundstage,"Sat, Mar 28",,NEW — No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,Theatre Connect Karaoke Night,headliner,filtered,Heartwood Soundstage,"Tue, Mar 31",,NEW — No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,Swamp Showcase,headliner,filtered,Heartwood Soundstage,"Sun, Apr 19",,NEW — No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,JULIA. – ‘Fish in the Percolator’ Album Release Show,headliner,reused,Kings,"Fri, Mar 13",,Rejected: not found on Spotify + channel mismatch,Prior match with high confidence kept. No new search.
No Preview,The Great Cover Up 2026 – Make-Up Night!,headliner,filtered,Kings,"Sat, Mar 14",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,GrrrlBands: Sountrack Season Showcase,headliner,filtered,Kings,"Sun, Mar 15",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,Sesame / Emily Grimm,headliner,reused,Kings,"Mon, Mar 23",,"Rejected: view count 29,773,734 exceeds 5,000,000 cap; non-matching channel 'NPR Music' with 12,400,000 subscribers; not found on Spotify + channel mismatch",Prior match with high confidence kept. No new search.
No Preview,Raleigh Comedy Festival 2026 – Friday Night,headliner,filtered,Kings,"Fri, Mar 27",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,Raleigh Comedy Festival 2026 – Saturday Night,headliner,filtered,Kings,"Sat, Mar 28",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,The Great Cover Up 2026 – Make-Up Night!,headliner,filtered,Kings,"Fri, Apr 3",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,The Old Soul Sessions Featuring NIITO / DJ YAE / UNCOOL KEVV,headliner,filtered,Lincoln Theatre,"Mon, Mar 16",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,CONCRETE BOYS: IT’S US – VOL. 2 TOUR,headliner,reused,Lincoln Theatre,"Tue, Apr 21",,Rejected: not found on Spotify + channel mismatch,Prior match with high confidence kept. No new search.
No Preview,Soulja Boy’s The Drip Tour with special guest Lil Xan,headliner,filtered,Lincoln Theatre,"Wed, May 06",,NEW — No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,Snowblinder and Dead Halos,opener,filtered,Local 506,"Sat, Mar 14",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,More Is Not Enough and Heavy For The Vintage,opener,filtered,Local 506,"Thu, Mar 19",,No video from scraper,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,Julian Calendar and Sonic Blooms,opener,filtered,Local 506,"Sat, Mar 21",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,Dug and Snide,opener,filtered,Local 506,"Wed, Apr 01",,No video from scraper,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,Locally Sourced Weaponry,headliner,filtered,Local 506,"Wed, Apr 08",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,The Horse Deniers and Hvac Tech,opener,filtered,Local 506,"Wed, Apr 08",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,Nature TV and Emerson Bruno,opener,filtered,Local 506,"Thu, Apr 09",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,Erie Choir and Neon Ruins,opener,filtered,Local 506,"Fri, Apr 10",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,Your Neighbors,headliner,reused,Local 506,"Thu, Apr 16",,"Rejected: view count 51,036,226 exceeds 10,000,000 cap",Prior match with high confidence kept. No new search.
No Preview,HBO QUIZZO: Heated Rivalry,headliner,filtered,Mohawk Indoor,"Mon, Mar 09",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,Hosted By Anna Troxell,opener,filtered,Mohawk Indoor,"Mon, Mar 09",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,To Be Announced,opener,filtered,Mohawk Outdoor,"Fri, Mar 13",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,To Be Announced,opener,filtered,Mohawk Outdoor,"Sat, Mar 14",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,To Be Announced,opener,filtered,Mohawk Outdoor,"Sun, Mar 15",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
